CONOCIÓ,Yo conocí,Tú conociste,El/la conoció,Nosotros conocimos (i),nosotros conocimos (e),Ustedes conocieron
,Naa binebiá,Lii binibiá'lu,Laabe binibia'be,Laanu binibiá'nu,Laadu binibiá'du,Laatu binibiá'tu
,Naa binebiá'lu,Lii binibiá,Laabe binibia'lu,Laanu binibiá'du,Laadu binibiá'nu,Laatu binibiá
,,,,,,
BIXOÑE,,,,,,
CORRIÓ,Yo corrí,Tú corriste,El/la corrió,Nosotros corrimos (i),Nosotros corrimos (e),Ustedes corrieron
,Naa bixoñe,Lii bixoñe'lu,Laabe bixoñe'be,Laanu bixoñe'nu,Laadu bixoñe'du,Laatu bixoñe'tu
,Naa bixoñe'lu,Lii bixoñe,Laabe bixoñe'lu,Laanu bixoñe'du,Laadu bixoñe'nu,Laatu bixoñe
,,,,,,
BIGAYA,,,,,,
CORTAR / CORTÓ,Yo corté,Tú cortaste,Él/la cortó,Nosotros cortamos (in),Nosotros cortamos (e),Ustedes cortaron
,Naa bigaya,Lii biga'lu,Laabe biga'be,Laanu biga'nu,Laadu biga'du,Laatu biga'tu
,Naa bigaya'lu,Lii biga,Laabe biga'lu,Laanu biga'du,Laadu biga'nu,Laatu biga
,,,,,,
BIDIÁ,,,,,,
DIO,Yo di,Tú diste,Él/la dio,Nosotros dimos (i),Nosotros dimos (e),Ustedes dieron
,Naa bidiá,Lii bidi'lu,Laabe bidi'be,Laanu bidi'nu,Laadu bidi'du,Laatu bidi'tu
,Naa bidiá'lu,Lii bidi,Laabe bidi'lu,Laanu bidi'du,Laadu bidi'nu,Laatu bidi
,,,,,,
GUDXE,,,,,,
DIJO,Yo dije,Tú dijiste,Él/la dijo,Nosotros dijimos (i),Nosotros dijimos (e),Ustedes dijeron
,Naa gudxe,Lii gudxi'lu,Laabe gudxi'be,Laanu gudxi'nu,Laadu gudxi'du,Laatu gudxi'tu
,Naa gudxe'lu,Lii gudxi,Laabe gudxi'lu,Laanu gudxi'du,Laadu gudxi'nu,Laatu gudxi
,,,,,,
BISANA,,,,,,
DEJÓ,Yo dejé,Tú dejaste,Él/la dejó,Nosotros dejamos (i),Nosotros dejamos (e),Ustedes dejaron
,Naa bisana,Lii bisana'lu,Laabe bisana'be,Laanu bisana'nu,Laadu bisana'du,Laatu bisana'tu
,Naa bisana'lu,Lii bisana,Laabe bisana'lu,Laanu bisana'du,Laadu bisana'nu,Laatu bisana
,,,,,,
GUSE,,,,,,
DURMIÓ,Yo dormí,Tú dormiste,Él/la durmió,Nosotros dormimos (i),Nosotros dormimos (e),Ustedes durmieron
,Naa guse,Lii gusi'lu,Laabe gusi'be,Laanu gusi'nu,Laadu gusi'du,Laatu gusi'tu
,Naa guse'lu,Lii gusi,Laabe gusi'lu,Laanu gusi'du,Laadu gusi'nu,Laatu gusi
,,,,,,
GULIÁ,,,,,,
ELEGIÓ,Yo elegí,Tú elegiste,Él/la eligió,Nosotros elegimos (i),Nosotros elegimos (e),Ustedes eligieron
,Naa guliá,Lii guli'lu,Laabe guli'be,Laanu guli'nu,Laadu guli'du,Laatu guli'tu
,Naa guliá'lu,Lii guli,Laabe guli'lu,Laanu guli'du,Laadu guli'nu,Laatu guli
,,,,,,
BIZULOÁ,,,,,,
EMPEZÓ,Yo empecé,Tú empezaste,Él/la empezó,Nosotros empezamos (i),Nosotros empezamos (e),Ustedes empezaron
,Naa bizuloá,Lii bizulo'lu,Laabe bizuló'be,Laanu bizulo'nu,Laadu bizulo'du,Laatu bizulo'tu
,Naa bizuloá'lu,Lii bizulo,Laabe bizuló'lu,Laanu bizulo'du,Laadu bizulo'nu,Laatu bizulo
,,,,,,
BIDXELA,,,,,,
ENCONTRÓ,Yo encontré,Tú encontraste,Él/la encontró,Nosotros encontramos (i),Nosotros encontramos (e),Ustedes encontraron
,Naa bidxela,Lii bidxela'lu,Laabe bidxela'be,Laanu bidxela'nu,Laadu bidxela'du,Laatu bidxela'tu
,Naa bidxela'lu,Lii bidxela,Laabe bidxela'lu,Laanu bidxela'du,Laadu bidxela'nu,Laatu bidxela
,,,,,,
GUCA HUARAYA,,,,,,
ENFERMÓ,Yo me enfermé,Tú te enfermaste,Él/la se enfermó,Nosotros nos enfermamos (i),Nosotros nos enfermamos (e),Ustedes se enfermaron
,Naa guca huaraya,Lii guca huara'lu,Laabe guca huara'be,Laanu guca huara'nu,Laadu guca huara'du,Laatu guca huara'tu
,Naa guca huaraya'lu,Lii guca huara,Laabe guca huara'lu,Laanu guca huara'du,Laadu guca huara'nu,Laatu guca huara
,,,,,,
BISIIDE,,,,,,
ENSEÑÓ,Yo enseñé,Tú enseñaste,Él/la enseñó,Nosotros enseñamos (i),Nosotros enseñamos (e),Ustedes enseñaron
,Naa bisiide,Lii bissidi'lu,Laabe bissidi'be,Laanu bissidi'nu,Laadu bissidi'du,Laatu bissidi'tu
,Naa bisiide'lu,Lii bissidi,Laabe bissidi'lu,Laanu bissidi'du,Laadu bissidi'nu,Laatu bissidi
,,,,,,
BIOÁ,,,,,,
ENTRÓ,Yo entré,Tú entraste,Él/la entró,Nosotros entramos (i),Nosotros entramos (e),Ustedes entraron
,Naa bioá,Lii bioa'lu,Laabe bioa'be,Laanu bioa'nu,Laadu bioa'du,Laatu bioa'tu
,Naa bioá'lu,Lii bioa,Laabe bioa'lu,Laanu bioa'du,Laadu bioa'nu,Laatu bioa
,,,,,,
BISENDA,,,,,,
ENVIÓ,Yo envié,Tú enviaste,Él/la envió,Nosotros enviamos (i),Nosotros enviamos (e),Ustedes enviaron
,Naa bisenda,Lii bisenda'lu,Laabe bisenda'be,Laanu bisenda'nu,Laadu bisenda'du,Laatu bisenda'tu
,Naa bisenda'lu,Lii bisenda,Laabe bisenda'lu,Laanu bisenda'du,Laadu bisenda'nu,Laatu bisenda
,,,,,,
BICÁA,,,,,,
ESCRIBIÓ,Yo escribí,Tú escribiste,Él/la escribió,Nosotros escribimos (i),Nosotros escribimos (e),Ustedes escribieron
,Naa bicáa,Lii bicaa'lu,Laabe bicaa'be,Laanu bicaa'nu,Laadu bicaa'du,Laatu bicaa'tu
,Naa bicáa'lu,Lii bicaa,Laabe bicaa'lu,Laanu bicaa'du,Laadu bicaa'nu,Laatu bicaa
,,,,,,
BIINA,,,,,,
ESCUCHÓ,Yo escuché,Tú escuchaste,Él/la escuchó,Nosotros escuchamos (i),Nosotros escuchamos (e),Ustedes escucharon
,Naa biina,Lii biina'lu,Laabe biina'be,Laanu biina'nu,Laadu biina'du,Laatu biina'tu
,Naa biina'lu,Lii biina,Laabe biina'lu,Laanu biina'du,Laadu biina'nu,Laatu biina
,,,,,,
GULEEZA,,,,,,
ESPERÓ,Yo esperé,Tú esperaste,Él/la esperó,Nosotros esperamos (i),Nosotros esperamos (e),Ustedes esperaron
,Naa guleeza,Lii guleeza'lu,Laabe guleeza'be,Laanu guleeza'nu,Laadu guleeza'du,Laatu guleeza'tu
,Naa guleeza'lu,Lii guleeza,Laabe guleeza'lu,Laanu guleeza'du,Laadu guleeza'nu,Laatu guleeza
,,,,,,
BIZIIDE,,,,,,
ESTUDIÓ,Yo estudié,Tú estudiaste,Él/la estudió,Nosotros estudiamos (i),Nosotros estudiamos (e),Ustedes estudiaron
,Naa biziide,Lii biziidi'lu,Laabe biziidi'be,Laanu biziidi'nu,Laadu biziidi'du,Laatu biziidi'tu
,Naa biziide'lu,Lii biziidi,Laabe biziidi'lu,Laanu biziidi'du,Laadu biziidi'nu,Laatu biziidi
,,,,,,
GUNIÁ,,,,,,
HABLÓ,Yo hablé,Tú hablaste,Él/la habló,Nosotros hablamos (i),Nosotros hablamos (e),Ustedes hablaron
,Naa guniá,Lii guni'lu,Laabe guni'be,Laanu guni'nu,Laadu guni'du,Laatu guni'tu
,Naa guniá'lu,Lii guni,Laabe guni'lu,Laanu guni'du,Laadu guni'nu,Laatu guni
,,,,,,
BINE,,,,,,
HIZO,Yo hice,Tú hiciste,Él/la hizo,Nosotros hicimos (i),Nosotros hicimos (e),Ustedes hicieron
,Naa bine,Lii bini'lu,Laabe bini'be,Laanu bini'nu,Laadu bini'du,Laatu bini'tu
,Naa bine'lu,Lii bini,Laabe bini'lu,Laanu bini'du,Laadu bini'nu,Laatu bini
,,,,,,
GUYÁ,,,,,,
FUE,Yo fui,Tú fuiste,Él/la fue,Nosotros fuimos (i),Nosotros fuimos (e),Ustedes fueron
,Naa guyá,Lii guye'lu,Laabe guye'be,Laanu guye'nu,Laadu guye'du,Laatu guye'tu
,Naa guyá'lu,Lii guye,Laabe guye'lu,Laanu guye'du,Laadu guye'nu,Laatu guye
,,,,,,
GUDXITE,,,,,,
JUGÓ,Yo jugué,Tú jugaste,Él/la jugó,Nosotros jugamos (i),Nosotros jugamos (e),Ustedes jugaron
,Naa gudxite,Lii gudxite'lu,Laabe gudxite'be,Laanu gudxite'nu,Laadu gudxite'du,Laatu gudxite'tu
,Naa gudxite'lu,Lii gudxite,Laabe gudxite'lu,Laanu gudxite'du,Laadu gudxite'nu,Laatu gudxite
,,,,,,
BINDA,,,,,,
LEYÓ,Yo leí,Tú leíste,Él/la leyó,Nosotros leímos (i),Nosotros leímos (e),Ustedes leyeron
,Naa binda,Lii binda'lu,Laabe binda'be,Laanu binda'nu,Laadu binda'du,Laatu binda'tu
,Naa binda'lu,Lii binda,Laabe binda'lu,Laanu binda'du,Laadu binda'nu,Laatu binda
,,,,,,
BISIAYA,,,,,,
LIMPIÓ,Yo limpié,Tú limpiaste,Él/la limpió,Nosotros limpiamos (i),Nosotros limpiamos (e),Ustedes limpiaron
,Naa bisiaya,Lii bisia'lu,Laabe bisia'be,Laanu bisia'nu,Laadu bisia'du,Laatu bisia'tu
,Naa bisiaya'lu,Lii bisia,Laabe bisia'lu,Laanu bisia'du,Laadu bisia'nu,Laatu bisia
,,,,,,
YENDAAYA,,,,,,
LLEGÓ,Yo llegué,Tú llegaste,Él/la llegó,Nosotros llegamos (i),Nosotros llegamos (e),Ustedes llegaron
,Naa yendaaya,Lii yendaa'lu,Laabe yendaa'be,Laanu yendaa'nu,Laadu yendao'du,Laatu yendao'tu
,Naa yendaaya'lu,Lii yendaa,Laabe yendaa'lu,Laanu yendaa'du,Laadu yendao'nu,Laatu yendao
,,,,,,
YENEÁ,,,,,,
LLEVÓ,Yo llevé,Tú llevaste,Él/la llevó,Nosotros llevamos (i),Nosotros llevamos (e),Ustedes llevaron
,Naa yeneá,Lii yene'lu,Laabe yene'be,Laanu yune'nu,Laadu yune'du,Laatu yune'tu
,Naa yeneá'lu,Lii yene,Laabe yene'lu,Laanu yune'du,Laadu yune'nu,Laatu yune
,,,,,,
BISAAYA,,,,,,
MANEJÓ,Yo manejé,Tú manejaste,Él/la manejó,Nosotros manejamos (i),Nosotros manejamos (e),Ustedes manejaron
,Naa bisaaya,Lii bisaa'lu,Laabe bisaa'be,Laanu bisaa'nu,Laadu bisaa'du,Laatu bisaa'tu
,Naa bisaaya'lu,Lii bisaa,Laabe bisaa'lu,Laanu bisaa'du,Laadu bisaa'nu,Laatu bisaa
,,,,,,
BIYADXIÁ,,,,,,
MIRÓ FIJAMENTE,Yo miré fijamente,Tú miraste fijamente,Él/la miró fijamente,Nosotros miramos fijamente (i),Nosotros miramos fijamente (e),Ustedes miraron fijamente
,Naa biyadxiá,Lii biyadxi'lu,Laabe biyadxi'be,Laanu biyadxi'nu,Laadu biyadxi'du,Laatu biyadxi'tu
,Naa biyadxiá'lu,Lii biyadxi,Laabe biyadxi'lu,Laanu biyadxi'du,Laadu biyadxi'nu,Laatu biyadxi
,,,,,,
BIXOBA,,,,,,
NADÓ,Yo nadé,Tú nadaste,Él/la nadó,Nosotros nadamos (i),Nosotros nadamos (e),Ustedes nadaron
,Naa bixoba,Lii bixoba'lu,Laabe bixoba'be,Laanu bixoba'nu,Laadu bixoba'du,Laatu bixoba'tu
,Naa bixoba'lu,Lii bixoba,Laabe bixoba'lu,Laanu bixoba'du,Laadu bixoba'nu,Laatu bixoba
,,,,,,
BISIANDA,,,,,,
OLVIDÓ,Yo olvidé,Tú olvidaste,Él/la olvidó,Nosotros olvidamos (i),Nosotros olvidamos (e),Ustedes olvidaron
,Naa bisianda,Lii bisianda'lu,Laabe bisianda'be,Laanu bisianda'nu,Laadu bisianda'du,Laatu bisianda'tu
,Naa bisianda'lu,Lii bisianda,Laabe bisianda'lu,Laanu bisianda'du,Laadu bisianda'nu,Laatu bisianda
,,,,,,
BISUGAA,,,,,,
PARÓ,Yo paré,Tú paraste,Él/la paró,Nosotros paramos (i),Nosotros paramos (e),Ustedes pararon
,Naa bisugaa,Lii bisugaa'lu,Laabe bisugaa'be,Laanu bisugaa'nu,Laadu bisugaa'du,Laatu bisugaa'tu
,Naa bisugaa'lu,Lii bisugaa,Laabe bisugaa'lu,Laanu bisugaa'du,Laadu bisugaa'nu,Laatu bisugaa
,,,,,,
GUDIIDE,,,,,,
PASÓ,Yo pasé,Tú pasaste,Él/la pasó,Nosotros pasamos (i),Nosotros pasamos (e),Ustedes pasaron
,Naa gudiide,Lii gudiidi'lu,Laabe gudiidi'be,Laanu gudiidi'nu,Laadu gudiidi'du,Laatu gudiidi'tu
,Naa gudiide'lu,Lii gudiidi,Laabe gudiidi'lu,Laanu gudiidi'du,Laadu gudiidi'nu,Laatu gudiidi
,,,,,,
GUNABA,,,,,,
PIDIÓ,Yo pedí,Tú pediste,Él/la pidió,Nosotros pedimos (i),Nosotros pedimos (e),Ustedes pidieron
,Naa gunaba,Lii gunaba'lu,Laabe gunaba'be,Laanu gunaba'nu,Laadu gunaba'du,Laatu gunaba'tu
,Naa gunaba'lu,Lii gunaba,Laabe gunaba'lu,Laanu gunaba'du,Laadu gunaba'nu,Laatu gunaba
,,,,,,
BICÁ,,,,,,
PEGÓ,Yo pegué,Tú pegaste,Él/la pegó,Nosotros pegamos (i),Nosotros pegamos (e),Ustedes pegaron
,Naa bicá,Lii bica'lu,Laabe bica'be,Laanu bica'nu,Laadu bica'du,Laatu bica'tu
,Naa bicá'lu,Lii bica,Laabe bica'lu,Laanu bica'du,Laadu bica'nu,Laatu bica
,,,,,,
,,,,,,
GUNI IQUE,,,,,,
PENSÓ,Yo pensé,Tú pensaste,Él/la pensó,Nosotros pensamos (i),Nosotros pensamos (e),Ustedes pensarón
,Naa guni ique,Lii guni ique'lu,Laabe guni ique'be,Laanu guni ique'nu,Laadu guni ique'du,Laatu guni ique'tu
,Naa guni ique'lu,Lii guni ique,Laabe guni ique'lu,Laanu guni ique'du,Laadu guni ique'nu,Laatu guni ique
,,,,,,
BIUI DIIDXA,,,,,,
PLATICÓ,Yo platiqué,Tú platicaste,Él/la platicó,Nosotros platicamos (i),Nosotros platicamos (e),Ustedes platicaron
,Naa biui diidxa,Lii biui'lu diidxa,Laabe biui diidxa'be,Laanu biui'nu diidxa,Laadu biui'nu diidxa,Laatu biui'nu diidxa
,Naa biui diidxa'lu,Lii biui diidxa,Laabe biui diidxa'lu,Laanu biui'du diidxa,Laadu biui'nu diidxa,Laatu biui diidxa
,,,,,,
GUDIXHE,,,,,,
PUSO,Yo puse,Tú pusiste,Él/la puso,Nosotros pusimos (i),Nosotros pusimos (e),Ustedes pusieron
,Naa gudxhe,Lii gudxhe'lu,Laabe gudxhe'be,Laanu gudxhe'nu,Laadu gudxhe'du,Laatu gudxhe'tu
,Naa gudxhe'lu,Lii gudxhe,Laabe gudxhe'lu,Laanu gudxhe'du,Laadu gudxhe'nu,Laatu gudxhe
,,,,,,
BITIÑE,,,,,,
PRESTÓ,Yo presté,Tú prestaste,Él/la prestó,Nosotros prestamos (i),Nosotros prestamos (e),Ustedes prestaron
,Naa bitiñe,Lii bitiñe'lu,Laabe bitine'be,Laanu bitine'nu,Laadu bitine'du,Laatu bitine'tu
,Naa bitiñe'lu,Lii bitiñe,Laabe bitine'lu,Laanu bitine'du,Laadu bitine'nu,Laatu bitine
,,,,,,
GUNNA,,,,,,
SUPO,Yo supe,Tú supiste,Él/la supo,Nosotros supimos (i),Nosotros supimos (e),Ustedes supieron
,Naa gunna,Lii gunna'lu,Laabe gunna'be,Laanu gunna'nu,Laadu gunna'du,Laatu gunna'tu
,Naa gunna'lu,Lii gunna,Laabe gunna'lu,Laanu gunna'du,Laadu gunna'nu,Laatu gunna
,,,,,,
BIREÁ,,,,,,
SALIÓ,Yo salí,Tú saliste,Él/la salió,Nosotros salimos (i),Nosotros salimos (e),Ustedes salieron
,Naa bireá,Lii bire'lu,Laabe bire'be,Laanu bire'nu,Laadu bire'du,Laatu bire'tu
,Naa bireá'lu,Lii bire,Laabe bire'lu,Laanu bire'du,Laadu bire'nu,Laatu bire
,,,,,,
GURIÁ,,,,,,
SENTÓ,Yo  me senté,Tú te sentasté,Él/la se sentó,Nosotros nos sentamos (inc),Nosotros nos sentamos (exc),Ustedes se sentarón
,Naa bisianda,Lii bisianda'lu,Laabe bisianda'be,Laanu bisianda'nu,Laadu bisianda'du,Laatu bisianda'tu
,Naa guriá'lu,Lii guri,Laabe guri'lu,Laanu guri'du,Laadu guri'nu,Laatu guri
,,,,,,
GUYÁ,,,,,,
FUE,Yo fui,Tú fuiste,Él/la fue,Nosotros fuimos (i),Nosotros fuimos (e),Ustedes fueron
,Naa guyá,Lii guye'lu,Laabe guye'be,Laanu guye'nu,Laadu guye'du,Laatu guye'tu
,Naa guyá'lu,Lii guyá,Laabe guye'lu,Laanu guye'du,Laadu guye'nu,Laatu guca
,,,,,,
GUDXIBA,,,,,,
SUBIÓ / MONTÓ,Yo subí,Tú subiste,Él/la subió,Nosotros subimos (i),Nosotros subimos (e),Ustedes subieron
,Naa gudxiba,Lii gudxiba'lu,Laabe gudxiba'be,Laanu gudxiba'nu,Laadu gudxiba'du,Laatu gudxiba'tu
,Naa gudxiba'lu,Lii gudxiba,Laabe gudxiba'lu,Laanu gudxiba'du,Laadu gudxiba'nu,Laatu gudxiba
,,,,,,
GUPA,,,,,,
TUVO,Yo tuve,Tú tuviste,Él/la tuvo,Nosotros tuvimos (i),Nosotros tuvimos (e),Ustedes tuvieron
,Naa gupa,Lii gupa'lu,Laabe gupa'be,Laanu gupa'nu,Laadu gupa'du,Laatu gupa'tu
,Naa gupa'lu,Lii gupa,Laabe gupa'lu,Laanu gupa'du,Laadu gupa'nu,Laatu gupa
,,,,,,
GUE / HUEÁ,,,,,,
TOMÓ,Yo tomé,Tú tomaste,Él/la tomó,Nosotros tomamos (i),Nosotros tomamos (e),Ustedes tomaron
,Naa hueá,Lii hue'lu,Laabe hue'be,Laanu hue'nu,Laadu hue'du,Laatu hue'tu
,Naa hueá'lu,Lii hue,Laabe hue'lu,Laanu hue'du,Laadu hue'nu,Laatu hue
,,,,,,
BINE DXIIÑA,,,,,,
TRABAJÓ,Yo trabajé,Tú trabajaste,Él/la trabajó,Nosotros trabajamos (i),Nosotros trabajamos (e),Ustedes trabajaron
,Naa bine dxiiña,Lii bini dxiiña'lu,Laabe bini dxiiña'be,Laanu bini dxiiña'nu,Laadu bini dxiiña'du,Laatu bini dxiiña'tu
,Naa bine dxiiña'lu,Lii bini dxiiña,Laabe bini dxiiña'lu,Laanu bini dxiiña'du,Laadu bini dxiiña'nu,Laatu bini dxiiña
,,,,,,
BEDANEÁ,,,,,,
TRAJO,Yo traje,Tú trajiste,Él/la trajo,Nosotros trajimos (i),Nosotros trajimos (e),Ustedes trajeron
,Naa bedaneá,Lii bendane'lu,Laabe bendane'be,Laanu bendane'nu,Laadu bendane'du,Laatu bendane'tu
,Naa bedaneá'lu,Lii bendane,Laabe bendane'lu,Laanu bendane'du,Laadu bendane'nu,Laatu bendane
,,,,,,
BIQUIÑE,,,,,,
USÓ / NECESITÓ,Yo usé,Tú usaste,Él/la usó,Nosotros usamos (i),Nosotros usamos (e),Ustedes usaron
,Naa biquiñe,Lii biquine'lu,Laabe biquine'be,Laanu biquine'nu,Laadu biquine'du,Laatu biquine'tu
,Naa biquiñe'lu,Lii biquine,Laabe biquine'lu,Laanu biquine'du,Laadu biquine'nu,Laatu biquine
,,,,,,
BIÁ,,,,,,
VIO / MIRÓ,Yo vi,Tú viste,Él/la vio,Nosotros vimos (i),Nosotros vimos (e),Ustedes vieron
,Naa biá,Lii biá'lu,Laabe biá'be,Laanu bidúya'nu,Laadu bidúya'du,Laatu bidúya'tu
,Naa biá'lu,Lii bia,Laabe biá'lu,Laanu bidúya'du,Laadu bidúya'nu,Laatu bidúya
,,,,,,
YEGANNA,,,,,,
VISITÓ,Yo visité,Tú visitaste,Él/la visitó,Nosotros visitamos (i),Nosotros visitamos (e),Ustedes visitaron
,Naa yeganna,Lii yeganna'lu,Laabe yeganna'be,Laanu yeganna'nu,Laadu yeganna'du,Laatu yeganna'tu
,Naa yeganna'lu,Lii yeganna,Laabe yeganna'lu,Laanu yeganna'du,Laadu yeganna'nu,Laatu yeganna
,,,,,,
GULEZA,,,,,,
VIVIÓ EN,Yo viví,Tú viviste,Él/la vivió,Nosotros vivimos (i),Nosotros vivimos (e),Ustedes vivieron
,Naa guleza,Lii guleza'lu,Laabe guleza'be,Laanu guleza'nu,Laadu guleza'du,Laatu guleza'tu
,Naa guleza'lu,Lii guleza,Laabe guleza'lu,Laanu guleza'du,Laadu guleza'nu,Laatu guleza
,,,,,,
UBIGUETA,,,,,,
VOLVÍ,Yo volví,Tú volviste,Él/la volvió,Nosotros volvimos (i),Nosotros volvimos (e),Ustedes volvieron
,Naa ubigueta,Lii ubigueta'lu,Laabe ubigueta'be,Laanu ubigueta'nu,Laadu ubigueta'du,Laatu ubigueta'tu
,Naa guleza'lu,Lii guleza,Laabe guleza'lu,Laanu guleza'du,Laadu guleza'nu,Laatu guleza
